strategy,scenario,start,end,days,average_one_way_turnover,annualized_return,sharpe,cagr,cumulative_return,max_drawdown,total_fees,terminal_residual_value
every_5d_phase4,fees_slip5,2025-01-02,2026-08-28,402,0.311806758553267,0.03266800145087725,0.206249736257219,0.02037473833806991,0.032699113412836045,-0.22200789786888642,0.2737941845756839,0.0
partial_25,gross,2025-01-02,2026-08-28,402,0.3717749044024681,0.27027238385658037,1.6107809495403145,0.29194076957730086,0.5047295119410657,-0.1461821093053789,0.0,0.00712468449544572
partial_25,fees_slip0,2025-01-02,2026-08-28,402,0.37182519174319,0.1670193984108039,0.9957868400982613,0.16530323680951553,0.2763975105172536,-0.16613269066783776,0.18067186101870863,0.006451094952251436
partial_25,fees_slip2,2025-01-02,2026-08-28,402,0.3718434757970153,0.12948839881861454,0.7721146911599168,0.12240264842449844,0.20226191324619114,-0.1733098988385211,0.23887300346104168,0.006222894378623136
partial_25,fees_slip5,2025-01-02,2026-08-28,402,0.3718709194993634,0.07318495795444019,0.4364624389395972,0.06097616759143998,0.09902253607443012,-0.18396348545188357,0.3194844636172284,0.005896162141979207
partial_50,gross,2025-01-02,2026-08-28,402,0.7589479809762305,0.3810753537328689,2.3986199599569757,0.4452179872704052,0.7994168612590815,-0.10257746237877752,0.0,0.007025106023799734
partial_50,fees_slip0,2025-01-02,2026-08-28,402,0.7587440092224131,0.17032736421850422,1.072640481798513,0.1708551083794847,0.2861121546598189,-0.14387227093027455,0.3669785732836701,0.005677953994554741
partial_50,fees_slip2,2025-01-02,2026-08-28,402,0.7586700025095924,0.09375247093649049,0.5905030544011795,0.08458347320870963,0.13828982267446022,-0.16583466674613967,0.4699571168630436,0.005255084465270555
partial_50,fees_slip5,2025-01-02,2026-08-28,402,0.7585591178987553,-0.0210820210036459,-0.1328167113926979,-0.0330683076849535,-0.05223030979729015,-0.22599031738677566,0.6001971013650108,0.004679074002601283
partial_75,gross,2025-01-02,2026-08-28,402,1.1369873241451756,0.473425269790553,2.9112598353470016,0.5838626677676415,1.0825574945027054,-0.09337258151806316,0.0,0.0038259791631670577
partial_75,fees_slip0,2025-01-02,2026-08-28,402,1.1362409506747877,0.1577283546669468,0.9705735808844247,0.15551860702357923,0.2593434024787096,-0.1328184962986806,0.5350578083782429,0.0027794825224812295
partial_75,fees_slip2,2025-01-02,2026-08-28,402,1.1359706049953535,0.04307264615167147,0.26510040571200466,0.030385249513203316,0.04890827018931687,-0.18086489876046352,0.6644628519630195,0.0024746610175020735
partial_75,fees_slip5,2025-01-02,2026-08-28,402,1.1355659842349874,-0.12880928879278386,-0.7930196572969771,-0.13236880001618656,-0.2026850645971675,-0.3333127252135426,0.8126998268225867,0.002078954310321436
buffer_10_20_partial50,gross,2025-01-02,2026-08-28,402,0.595627927447973,0.2975703361193507,1.7257533429614773,0.3266162101482699,0.5696686270231173,-0.13443478151679256,0.0,0.005501239202691317
buffer_10_20_partial50,fees_slip0,2025-01-02,2026-08-28,402,0.5953866242920116,0.13226546667123149,0.7674536513168482,0.1246398954509147,0.2060870533865189,-0.16800701453171463,0.28045300287173147,0.0046640062261354585
buffer_10_20_partial50,fees_slip2,2025-01-02,2026-08-28,402,0.5952991909637496,0.07221249219462016,0.419071489381221,0.05911327332914751,0.09594581855157913,-0.18071556419193613,0.36412918179499965,0.004392424136423589
buffer_10_20_partial50,fees_slip5,2025-01-02,2026-08-28,402,0.5951683981094991,-0.017834106398225143,-0.1035211654097781,-0.03208252200202755,-0.05068844328539501,-0.21770935530668878,0.47433437630103326,0.00401451126596455
buffer_10_20_every2_phase0,gross,2025-01-02,2026-08-28,402,0.5927381917332748,0.4514772304322316,2.521933019065924,0.5452204096367559,1.0020952846669524,-0.15666610688475968,0.0,0.015464916589444686
buffer_10_20_every2_phase0,fees_slip0,2025-01-02,2026-08-28,402,0.5923366541841086,0.28682024884675356,1.6028963550435045,0.3109398645433501,0.5401836697311422,-0.1865425316402094,0.32454109421265903,0.013103434747817588
buffer_10_20_every2_phase0,fees_slip2,2025-01-02,2026-08-28,402,0.5921938115302081,0.22703779213757916,1.2679293616314238,0.2349041350438401,0.4001573449913747,-0.19715478483105298,0.4205411467180728,0.01233771098058569
buffer_10_20_every2_phase0,fees_slip5,2025-01-02,2026-08-28,402,0.5919818024314426,0.13741694334161453,0.7659935019638735,0.12903825936677715,0.21362037976786286,-0.21645983055189444,0.5461960670029986,0.011272202229779371
buffer_10_20_every2_phase1,gross,2025-01-02,2026-08-28,402,0.5901790236072758,0.3372511995495057,1.9607810223487352,0.3803612601287041,0.6723292561487471,-0.11523402277480144,0.0,0.0
buffer_10_20_every2_phase1,fees_slip0,2025-01-02,2026-08-28,402,0.589791629337192,0.17320569172216047,1.013800550063728,0.17191746235153538,0.2879741890262757,-0.139625182085513,0.2886764430559734,0.0
buffer_10_20_every2_phase1,fees_slip2,2025-01-02,2026-08-28,402,0.5896535079695923,0.11363326106502768,0.66613318678874,0.10422053937400344,0.17134353810563896,-0.16725123039580536,0.3750524016883805,0.0
buffer_10_20_every2_phase1,fees_slip5,2025-01-02,2026-08-28,402,0.5894489881752655,0.02432549977953722,0.14279732978210963,0.009934354093562137,0.015894453548099596,-0.23887932572398074,0.48903588560726663,0.0
